country,year,iso_code,population,gdp,co2,co2_per_capita,co2_per_gdp
Hungary,2000,HUN,10220509,1.34E+11,58.365,5.711,0.435
Iceland,2000,ISL,280439,9306326016,2.932,10.455,0.315
India,2000,IND,1056575488,2.77E+12,978.919,0.927,0.353
Indonesia,2000,IDN,211513824,1.14E+12,274.727,1.299,0.241
International transport,2000,,,,786.862,,
Iran,2000,IRN,65623400,6.01E+11,369.15,5.625,0.614
Iraq,2000,IRQ,23497590,89277112320,71.716,3.052,0.803
Ireland,2000,IRL,3783095,1.47E+11,45.249,11.961,0.307
Israel,2000,ISR,5945949,1.60E+11,59.519,10.01,0.373
Italy,2000,ITA,56692180,1.86E+12,470.493,8.299,0.252
Jamaica,2000,JAM,2654698,17441458176,10.314,3.885,0.591
Japan,2000,JPN,127524168,4.22E+12,1264.375,9.915,0.3
Jordan,2000,JOR,5122495,35716132864,15.2,2.967,0.426
Kazakhstan,2000,KAZ,14922724,1.43E+11,149.054,9.988,1.044
Kenya,2000,KEN,31964556,59408908288,10.391,0.325,0.175
Kiribati,2000,KIR,84405,,0.033,0.391,
Kuwait,2000,KWT,2045123,74939588608,53.385,26.104,0.712
Kuwaiti Oil Fires,2000,,,,,,
Kyrgyzstan,2000,KGZ,4920712,15667579904,4.602,0.935,0.294
Laos,2000,LAO,5323701,12209285120,0.96,0.18,0.079
Latvia,2000,LVA,2384150,26780788736,7.081,2.97,0.264
Lebanon,2000,LBN,3842774,31977721856,15.466,4.025,0.484
Leeward Islands,2000,,,,,,
Lesotho,2000,LSO,2032805,3769602304,1.85,0.91,0.491
Liberia,2000,LBR,2848447,2767093248,0.421,0.148,0.152
Libya,2000,LBY,5357893,49983479808,47.515,8.868,0.951
Liechtenstein,2000,LIE,33184,,0.217,6.535,
Lithuania,2000,LTU,3501842,37788340224,11.876,3.391,0.314
Low-income countries,2000,,387088079,,159.542,0.412,0.33
Lower-middle-income countries,2000,,2445201834,,2775.906,1.136,0.348
Luxembourg,2000,LUX,436106,21906683904,8.71,19.972,0.398
Macao,2000,MAC,427772,,1.63,3.812,
Madagascar,2000,MDG,15766806,19464169472,1.867,0.118,0.096
Malawi,2000,MWI,11148751,10965810176,0.865,0.078,0.079
Malaysia,2000,MYS,23194252,3.05E+11,126.203,5.441,0.413
Maldives,2000,MDV,279396,,0.451,1.613,
Mali,2000,MLI,10946448,12490369024,1.066,0.097,0.085
Malta,2000,MLT,393649,8014503936,2.546,6.466,0.318
Marshall Islands,2000,MHL,50754,,0.099,1.949,
Martinique,2000,MTQ,387016,,1.963,5.073,
Mauritania,2000,MRT,2630217,4838789632,1.114,0.424,0.23
Mauritius,2000,MUS,1185147,16925978624,2.689,2.269,0.159
Mayotte,2000,MYT,150331,,0.162,1.076,
Mexico,2000,MEX,98899840,1.24E+12,396.066,4.005,0.319
Micronesia (country),2000,FSM,107405,,0.128,1.194,
Moldova,2000,MDA,4202659,12554040320,3.573,0.85,0.285
Mongolia,2000,MNG,2397417,7225650688,7.487,3.123,1.036
Montenegro,2000,MNE,613558,3766656000,1.521,2.479,0.404
Montserrat,2000,MSR,4925,,0.026,5.208,
Morocco,2000,MAR,28793672,1.36E+11,33.199,1.153,0.244
Mozambique,2000,MOZ,17711926,20141916160,1.322,0.075,0.066
Myanmar,2000,MMR,46719700,84093542400,10.044,0.215,0.119
Namibia,2000,NAM,1794583,11306642432,1.605,0.894,0.142
Nauru,2000,NRU,10335,,0.084,8.154,
Nepal,2000,NPL,23941100,39381725184,3.037,0.127,0.077
Netherlands,2000,NLD,15926188,6.04E+11,171.085,10.742,0.283
New Caledonia,2000,NCL,217263,,2.22,10.22,
New Zealand,2000,NZL,3858992,1.02E+11,32.339,8.38,0.317
Nicaragua,2000,NIC,5069310,13909592064,3.721,0.734,0.268
Niger,2000,NER,11331561,7477987840,0.694,0.061,0.093
Nigeria,2000,NGA,122283848,2.68E+11,78.823,0.645,0.294
Niue,2000,NIU,1902,,0.007,3.853,
North America,2000,,486124191,,7107.692,14.746,0.452
North America (excl. USA),2000,,,,1097.183,5.478,0.4
North Korea,2000,PRK,22929078,37758033920,69.165,3.016,1.832
North Macedonia,2000,MKD,2034823,16307994624,11.996,5.895,0.736
Norway,2000,NOR,4499375,2.43E+11,42.171,9.373,0.174
Oceania,2000,,31425087,,391.609,12.576,0.493
Oman,2000,OMN,2267973,53667835904,21.536,9.495,0.401
Pakistan,2000,PAK,142343584,4.60E+11,105.42,0.741,0.229
Palau,2000,PLW,19104,,0.209,10.932,
Palestine,2000,PSE,3224009,16535485440,1.66,0.515,0.1
Panama,2000,PAN,3030333,28706484224,5.728,1.89,0.2
Panama Canal Zone,2000,,,,,,
Papua New Guinea,2000,PNG,5847590,,2.664,0.456,
Paraguay,2000,PRY,5323202,26804834304,3.606,0.677,0.134
Peru,2000,PER,26459944,1.56E+11,30.104,1.138,0.193
Philippines,2000,PHL,77991760,3.26E+11,72.348,0.928,0.222
Poland,2000,POL,38556700,4.92E+11,317.692,8.24,0.646
Portugal,2000,PRT,10297117,2.39E+11,65.698,6.38,0.275
Puerto Rico,2000,PRI,3668955,1.04E+11,,,
Qatar,2000,QAT,592467,25410875392,34.012,57.407,1.339
Reunion,2000,REU,736714,,3.183,4.321,
Romania,2000,ROU,22137424,1.57E+11,92.364,4.172,0.589
Russia,2000,RUS,146404896,1.54E+12,1471.26,10.049,0.955
Rwanda,2000,RWA,7933688,8053573120,0.515,0.065,0.064
Ryukyu Islands,2000,,,,,,
Saint Helena,2000,SHN,6054,,0.011,1.816,
Saint Kitts and Nevis,2000,KNA,44083,,0.172,3.906,
Saint Lucia,2000,LCA,156737,1100265088,0.348,2.221,0.316
Saint Pierre and Miquelon,2000,SPM,6298,,0.055,8.727,
Saint Vincent and the Grenadines,2000,VCT,107787,,0.147,1.36,
Samoa,2000,WSM,174454,,0.143,0.819,
Sao Tome and Principe,2000,STP,142264,312853568,0.048,0.335,0.152
Saudi Arabia,2000,SAU,20663840,4.89E+11,296.364,14.342,0.606
Senegal,2000,SEN,9797731,20451864576,3.902,0.398,0.191
Serbia,2000,SRB,9487612,46079098880,44.95,4.738,0.975
Seychelles,2000,SYC,80998,1136006784,0.315,3.89,0.277
Sierra Leone,2000,SLE,4584570,3156876032,0.33,0.072,0.105
Singapore,2000,SGP,4028872,1.53E+11,48.394,12.012,0.315
Sint Maarten (Dutch part),2000,SXM,32564,,0.571,17.521,
Slovakia,2000,SVK,5399207,74412965888,41.152,7.622,0.553
Slovenia,2000,SVN,1987710,42615771136,15.043,7.568,0.353
Solomon Islands,2000,SLB,412665,,0.224,0.542,
Somalia,2000,SOM,8872250,,0.48,0.054,
South Africa,2000,ZAF,44967716,3.40E+11,378.255,8.412,1.111
South America,2000,,348411887,,821.39,2.358,0.234
South Korea,2000,KOR,47379240,1.09E+12,440.531,9.298,0.405
South Sudan,2000,SSD,6199396,,0.46,0.074,
Spain,2000,ESP,40824748,1.11E+12,311.385,7.627,0.281
Sri Lanka,2000,LKA,18777606,1.10E+11,10.134,0.54,0.092
St. Kitts-Nevis-Anguilla,2000,,,,,,
